Rank,Richer_country,GDP_rich,Year,Poorer_country,GDP_poor,Year,Ratio,Continent,,,,
1, Saudi Arabia,54800,2017 est., Yemen,1300,2017 est.,42.154,Asia,,,,
2, Oman,45200,2017 est., Yemen,1300,2017 est.,34.769,Asia,,,,
3, South Korea,39400,2017 est., North Korea,1700,2015 est.,23.176,Asia,,,,
4, Russia,27800,2017 est., North Korea,1700,2015 est.,16.353,Europe / Asia,,,,
5, Algeria,15200,2017 est., Niger,1200,2017 est.,12.667,Africa,,,,
6, Israel,36300,2017 est., Syria,2900,2015 est.,12.517,Asia,,,,
7, South Africa,13500,2017 est., Mozambique,1200,2017 est.,11.25,Africa,,,,
8, Iran,20200,2017 est., Afghanistan,2000,2017 est.,10.1,Asia,,,,
9, China,16700,2017 est., North Korea,1700,2015 est.,9.824,Asia,,,,
10, Equatorial Guinea,36000,2017 est., Cameroon,3700,2017 est.,9.73,Africa,,,,
11, Republic of the Congo,6600,2017 est., Central African Republic,700,2017 est.,9.429,Africa,,,,
12, Dominican Republic,16900,2017 est., Haiti,1800,2017 est.,9.389,Americas,,,,
13, Turkey,26900,2017 est., Syria,2900,2015 est.,9.276,Asia,,,,
14, Turkmenistan,18100,2017 est., Afghanistan,2000,2017 est.,9.05,Asia,,,,
15, Angola,6800,2017 est., DR Congo,800,2017 est.,8.5,Africa,,,,
16, Israel,36300,2017 est., Palestine,4300,2014 est.,8.442,Asia,,,,
17, China,16700,2017 est., Afghanistan,2000,2017 est.,8.35,Asia,,,,
18, Libya,10000,2017 est., Niger,1200,2017 est.,8.333,Africa,,,,
19, Republic of the Congo,6600,2017 est., DR Congo,800,2017 est.,8.25,Africa,,,,
20, Eswatini,9900,2017 est., Mozambique,1200,2017 est.,8.25,Africa,,,,
21, Botswana,17800,2017 est., Zimbabwe,2300,2017 est.,7.739,Africa,,,,
22, Kazakhstan,26300,2017 est., Kyrgyzstan,3700,2017 est.,7.108,Asia,,,,
23, Algeria,15200,2017 est., Mali,2200,2017 est.,6.909,Africa,,,,
24, Lebanon,19400,2017 est., Syria,2900,2015 est.,6.69,Asia,,,,
25, Macau,111600,2017 est., China,16700,2017 est.,6.683,Asia,,,,
26, Sudan,4600,2017 est., Central African Republic,700,2017 est.,6.571,Africa,,,,
27, China,16700,2017 est.,   Nepal,2700,2017 est.,6.185,Asia,,,,
28, Algeria,15200,2017 est., Western Sahara,2500,2007 est.,6.08,Africa,,,,
29, South Africa,13500,2017 est., Zimbabwe,2300,2017 est.,5.87,Africa,,,,
30, Iraq,17000,2017 est., Syria,2900,2015 est.,5.862,Asia,,,,
31, Cameroon,3700,2017 est., Central African Republic,700,2017 est.,5.286,Africa,,,,
32, China,16700,2017 est., Tajikistan,3200,2017 est.,5.219,Asia,,,,
33, Gabon,19200,2017 est., Cameroon,3700,2017 est.,5.189,Africa,,,,
34, Zambia,4000,2017 est., DR Congo,800,2017 est.,5,Africa,,,,
35, Nigeria,5900,2017 est., Niger,1200,2017 est.,4.917,Africa,,,,
36, Tanzania,3200,2017 est., Burundi,700,2017 est.,4.571,Africa,,,,
37, China,16700,2017 est., Kyrgyzstan,3700,2017 est.,4.514,Asia,,,,
38, Thailand,17900,2017 est., Cambodia,4000,2017 est.,4.475,Asia,,,,
39, Spain,38300,2017 est., Morocco,8600,2017 est.,4.453,Europe / Africa,,,,
40, Botswana,17800,2017 est., Zambia,4000,2017 est.,4.45,Africa,,,,
41, Saudi Arabia,54800,2017 est., Jordan,12500,2017 est.,4.384,Asia,,,,
42, Libya,10000,2017 est., Chad,2300,2017 est.,4.348,Africa,,,,
43, Jordan,12500,2017 est., Syria,2900,2015 est.,4.31,Asia,,,,
44, Romania,24500,2017 est., Moldova,5700,2017 est.,4.298,Europe,,,,
45, Tanzania,3200,2017 est., DR Congo,800,2017 est.,4,Africa,,,,
46, Kuwait,66200,2017 est., Iraq,17000,2017 est.,3.894,Asia,,,,
47, Kazakhstan,26300,2017 est., Uzbekistan,6900,2017 est.,3.812,Asia,,,,
48, Slovakia,33000,2017 est., Ukraine,8700,2017 est.,3.793,Europe,,,,
49, South Africa,13500,2017 est., Lesotho,3600,2017 est.,3.75,Africa,,,,
50, Iran,20200,2017 est., Pakistan,5400,2017 est.,3.741,Asia,,,,
51, Hong Kong,61400,2017 est., China,16700,2017 est.,3.677,Asia,,,,
52, Algeria,15200,2017 est., Mauritania,4400,2017 est.,3.455,Africa,,,,
53, Uzbekistan,6900,2017 est., Afghanistan,2000,2017 est.,3.45,Asia,,,,
54, Morocco,8600,2017 est., Western Sahara,2500,2007 est.,3.44,Africa,,,,
55, Hungary,29500,2017 est., Ukraine,8700,2017 est.,3.391,Europe,,,,
56, Poland,29500,2017 est., Ukraine,8700,2017 est.,3.391,Europe,,,,
57, Indonesia,12400,2017 est., Papua New Guinea,3700,2017 est.,3.351,Asia / Oceania,,,,
